,applystudent2,school2,applystudent1,datetime,school1
250,21,양지고,20,2020-04-08 21:47:07.891205,다정고
251,21,양지고,20,2020-04-08 21:47:13.174358,다정고
252,21,양지고,20,2020-04-08 21:47:18.487507,다정고
253,21,양지고,20,2020-04-08 21:47:23.748872,다정고
254,21,양지고,20,2020-04-08 21:47:29.051582,다정고
255,21,양지고,20,2020-04-08 21:47:34.352964,다정고
256,21,양지고,20,2020-04-08 21:47:39.632496,다정고
257,21,양지고,20,2020-04-08 21:47:44.934535,다정고
258,21,양지고,20,2020-04-08 21:47:50.233202,다정고
259,21,양지고,20,2020-04-08 21:47:55.510757,다정고
260,21,양지고,20,2020-04-08 21:48:00.807028,다정고
261,21,양지고,20,2020-04-08 21:48:06.078991,다정고
262,21,양지고,20,2020-04-08 21:48:11.351930,다정고
263,21,양지고,20,2020-04-08 21:48:16.747163,다정고
264,21,양지고,20,2020-04-08 21:48:22.053132,다정고
265,21,양지고,20,2020-04-08 21:48:27.329319,다정고
266,21,양지고,20,2020-04-08 21:48:32.604196,다정고
267,21,양지고,20,2020-04-08 21:48:37.879830,다정고
268,21,양지고,20,2020-04-08 21:48:43.167764,다정고
269,21,양지고,20,2020-04-08 21:48:48.508080,다정고
270,21,양지고,20,2020-04-08 21:48:53.788746,다정고
271,21,양지고,20,2020-04-08 21:48:59.087378,다정고
272,21,양지고,20,2020-04-08 21:49:04.354285,다정고
273,21,양지고,20,2020-04-08 21:49:09.620002,다정고
274,21,양지고,20,2020-04-08 21:49:14.884332,다정고
275,21,양지고,20,2020-04-08 21:49:20.143259,다정고
276,21,양지고,20,2020-04-08 21:49:25.499991,다정고
277,21,양지고,20,2020-04-08 21:49:30.771598,다정고
278,21,양지고,20,2020-04-08 21:49:36.042282,다정고
279,21,양지고,20,2020-04-08 21:49:41.321084,다정고
280,21,양지고,20,2020-04-08 21:49:46.593448,다정고
281,21,양지고,20,2020-04-08 21:49:51.870831,다정고
282,21,양지고,20,2020-04-08 21:49:57.162861,다정고
283,21,양지고,20,2020-04-08 21:50:02.604806,다정고
284,21,양지고,20,2020-04-08 21:50:07.911943,다정고
285,21,양지고,20,2020-04-08 21:50:13.169037,다정고
286,21,양지고,20,2020-04-08 21:50:18.442482,다정고
287,21,양지고,20,2020-04-08 21:50:23.742284,다정고
288,21,양지고,20,2020-04-08 21:50:29.024225,다정고
289,21,양지고,20,2020-04-08 21:50:34.318294,다정고
290,21,양지고,20,2020-04-08 21:50:39.601537,다정고
291,21,양지고,20,2020-04-08 21:50:44.865912,다정고
292,21,양지고,20,2020-04-08 21:50:50.137810,다정고
