,applystudent2,school2,applystudent1,school1,datetime
290,21,양지고,20,다정고,2020-04-08 08:01:22.737017
291,21,양지고,20,다정고,2020-04-08 08:01:28.114132
292,21,양지고,20,다정고,2020-04-08 08:01:33.434809
293,21,양지고,20,다정고,2020-04-08 08:01:38.725851
294,21,양지고,20,다정고,2020-04-08 08:01:44.019593
295,21,양지고,20,다정고,2020-04-08 08:01:49.318966
296,21,양지고,20,다정고,2020-04-08 08:01:54.628237
297,21,양지고,20,다정고,2020-04-08 08:01:59.949170
298,21,양지고,20,다정고,2020-04-08 08:02:05.252472
299,21,양지고,20,다정고,2020-04-08 08:02:10.560849
300,21,양지고,20,다정고,2020-04-08 08:02:15.908714
301,21,양지고,20,다정고,2020-04-08 08:02:21.195942
302,21,양지고,20,다정고,2020-04-08 08:02:26.501394
303,21,양지고,20,다정고,2020-04-08 08:02:31.816827
304,21,양지고,20,다정고,2020-04-08 08:02:37.166107
305,21,양지고,20,다정고,2020-04-08 08:02:42.497947
306,21,양지고,20,다정고,2020-04-08 08:02:47.788780
307,21,양지고,20,다정고,2020-04-08 08:02:53.095461
308,21,양지고,20,다정고,2020-04-08 08:02:58.394941
309,21,양지고,20,다정고,2020-04-08 08:03:03.680164
310,21,양지고,20,다정고,2020-04-08 08:03:09.056087
311,21,양지고,20,다정고,2020-04-08 08:03:14.350174
312,21,양지고,20,다정고,2020-04-08 08:03:19.637177
313,21,양지고,20,다정고,2020-04-08 08:03:24.926433
314,21,양지고,20,다정고,2020-04-08 08:03:30.212796
315,21,양지고,20,다정고,2020-04-08 08:03:35.541274
316,21,양지고,20,다정고,2020-04-08 08:03:40.856121
317,21,양지고,20,다정고,2020-04-08 08:03:46.171854
318,21,양지고,20,다정고,2020-04-08 08:03:51.477996
319,21,양지고,20,다정고,2020-04-08 08:03:56.760457
320,21,양지고,20,다정고,2020-04-08 08:04:02.053646
321,21,양지고,20,다정고,2020-04-08 08:04:07.363953
322,21,양지고,20,다정고,2020-04-08 08:04:12.647723
323,21,양지고,20,다정고,2020-04-08 08:04:17.932523
324,21,양지고,20,다정고,2020-04-08 08:04:23.206766
325,21,양지고,20,다정고,2020-04-08 08:04:28.502693
326,21,양지고,20,다정고,2020-04-08 08:04:33.799727
327,21,양지고,20,다정고,2020-04-08 08:04:39.098752
328,21,양지고,20,다정고,2020-04-08 08:04:44.393975
329,21,양지고,20,다정고,2020-04-08 08:04:49.684498
330,21,양지고,20,다정고,2020-04-08 08:04:54.979834
331,21,양지고,20,다정고,2020-04-08 08:05:00.273421
332,21,양지고,20,다정고,2020-04-08 08:05:05.571556
333,21,양지고,20,다정고,2020-04-08 08:05:10.876475
334,21,양지고,20,다정고,2020-04-08 08:05:16.165180
335,21,양지고,20,다정고,2020-04-08 08:05:21.481099
336,21,양지고,20,다정고,2020-04-08 08:05:26.768403
337,21,양지고,20,다정고,2020-04-08 08:05:32.057533
338,21,양지고,20,다정고,2020-04-08 08:05:37.337958
339,21,양지고,20,다정고,2020-04-08 08:05:42.627370
340,21,양지고,20,다정고,2020-04-08 08:05:47.916105
341,21,양지고,20,다정고,2020-04-08 08:05:53.206892
342,21,양지고,20,다정고,2020-04-08 08:05:58.511524
343,21,양지고,20,다정고,2020-04-08 08:06:03.864830
344,21,양지고,20,다정고,2020-04-08 08:06:09.181904
345,21,양지고,20,다정고,2020-04-08 08:06:14.464610
346,21,양지고,20,다정고,2020-04-08 08:06:19.775204
347,21,양지고,20,다정고,2020-04-08 08:06:25.076227
348,21,양지고,20,다정고,2020-04-08 08:06:30.384279
